ticker,date,close,volume
VN30,2013-01-02,490.82,22641550.0
VN30,2013-01-03,491.34,35219262.0
VN30,2013-01-04,498.31,21387780.0
VN30,2013-01-07,509.18,26031020.0
VN30,2013-01-08,525.36,65840432.0
VN30,2013-01-09,531.52,61607930.0
VN30,2013-01-10,545.8,38527310.0
VN30,2013-01-11,545.72,31774120.0
VN30,2013-01-14,537.42,27779640.0
VN30,2013-01-15,542.73,29523420.0
VN30,2013-01-16,546.34,30711880.0
VN30,2013-01-17,537.75,31723670.0
VN30,2013-01-18,534.97,30352710.0
VN30,2013-01-21,527.89,12761250.0
VN30,2013-01-22,521.19,17301730.0
VN30,2013-01-23,521.92,12905400.0
VN30,2013-01-24,532.11,11320000.0
VN30,2013-01-25,547.31,23302400.0
VN30,2013-01-28,562.6,37768410.0
VN30,2013-01-29,569.6,34904250.0
VN30,2013-01-30,572.76,29159290.0
VN30,2013-01-31,564.01,20070490.0
VN30,2013-02-01,566.09,36523604.0
VN30,2013-02-04,562.07,20183436.0
VN30,2013-02-05,556.83,30359637.0
VN30,2013-02-06,570.03,22214280.0
VN30,2013-02-07,571.59,21558510.0
VN30,2013-02-08,574.18,13101500.0
VN30,2013-02-18,574.43,17174080.0
VN30,2013-02-19,570.22,27026910.0
VN30,2013-02-20,572.38,19244500.0
VN30,2013-02-21,550.42,28137990.0
VN30,2013-02-22,551.33,29462370.0
VN30,2013-02-25,558.17,13807063.0
VN30,2013-02-26,536.94,26926760.0
VN30,2013-02-27,535.86,18834590.0
VN30,2013-02-28,545.68,17404590.0
VN30,2013-03-01,547.7,12333780.0
VN30,2013-03-04,534.53,19607530.0
VN30,2013-03-05,528.29,15478930.0
VN30,2013-03-06,539.08,9619410.0
VN30,2013-03-07,533.69,14167490.0
VN30,2013-03-08,540.01,9331490.0
VN30,2013-03-11,550.22,16745976.0
VN30,2013-03-12,547.63,17545750.0
VN30,2013-03-13,542.94,16299510.0
VN30,2013-03-14,546.15,16328330.0
VN30,2013-03-15,553.33,40230250.0
VN30,2013-03-18,548.72,14145520.0
VN30,2013-03-19,547.22,10403080.0
VN30,2013-03-20,551.15,15467200.0
VN30,2013-03-21,559.39,16237050.0
VN30,2013-03-22,554.84,19886870.0
VN30,2013-03-25,561.81,11961010.0
VN30,2013-03-26,557.17,15688383.0
VN30,2013-03-27,554.83,13420590.0
VN30,2013-03-28,551.92,13628770.0
VN30,2013-03-29,552.28,10336750.0
VN30,2013-04-01,566.98,19903590.0
VN30,2013-04-02,573.5,28288150.0
VN30,2013-04-03,569.33,19646830.0
VN30,2013-04-04,564.39,18312940.0
VN30,2013-04-05,570.2,18233321.0
VN30,2013-04-08,575.02,18368230.0
VN30,2013-04-09,575.93,19713050.0
VN30,2013-04-10,558.37,25361630.0
VN30,2013-04-11,565.76,23347480.0
VN30,2013-04-12,557.77,18954840.0
VN30,2013-04-15,540.83,20452890.0
VN30,2013-04-16,538.17,17844459.0
VN30,2013-04-17,543.99,9195080.0
VN30,2013-04-18,532.44,14712630.0
VN30,2013-04-22,527.63,12553482.0
VN30,2013-04-23,532.24,9970680.0
VN30,2013-04-24,531.69,10983022.0
VN30,2013-04-25,537.23,9167670.0
VN30,2013-04-26,537.37,8607490.0
VN30,2013-05-02,536.25,8705010.0
VN30,2013-05-03,539.33,7778390.0
VN30,2013-05-06,551.99,14217840.0
VN30,2013-05-07,549.57,16358350.0
VN30,2013-05-08,549.74,33500925.0
VN30,2013-05-09,552.53,66989450.0
VN30,2013-05-10,551.81,54737853.0
VN30,2013-05-13,554.38,18345350.0
VN30,2013-05-14,548.27,15614796.0
VN30,2013-05-15,551.81,14400706.0
VN30,2013-05-16,556.01,20541022.0
VN30,2013-05-17,553.51,18522510.0
VN30,2013-05-20,558.79,17872867.0
VN30,2013-05-21,566.46,37274373.0
VN30,2013-05-22,567.79,23394898.0
VN30,2013-05-23,561.79,26188017.0
VN30,2013-05-24,563.81,22900046.0
VN30,2013-05-27,574.82,24475400.0
VN30,2013-05-28,577.4,28323860.0
VN30,2013-05-29,579.33,31853885.0
VN30,2013-05-30,584.7,22110090.0
VN30,2013-05-31,581.95,81793477.0
VN30,2013-06-03,580.89,20919290.0
VN30,2013-06-04,574.95,27441920.0
VN30,2013-06-05,577.28,18821640.0
VN30,2013-06-06,582.92,25257110.0
VN30,2013-06-07,588.21,24381304.0
VN30,2013-06-10,584.11,41606431.0
VN30,2013-06-11,581.15,28986641.0
VN30,2013-06-12,575.39,21208190.0
VN30,2013-06-13,571.79,20040703.0
VN30,2013-06-14,562.97,18712100.0
VN30,2013-06-17,552.73,28223080.0
VN30,2013-06-18,552.87,21977680.0
VN30,2013-06-19,556.73,15884770.0
VN30,2013-06-20,555.01,17185750.0
VN30,2013-06-21,553.57,46476870.0
VN30,2013-06-24,546.56,24533567.0
VN30,2013-06-25,530.46,33835152.0
VN30,2013-06-26,529.88,39602970.0
VN30,2013-06-27,539.89,20796273.0
VN30,2013-06-28,538.54,36570753.0
VN30,2013-07-01,534.85,11296657.0
VN30,2013-07-02,544.98,13320400.0
VN30,2013-07-03,543.95,21364490.0
VN30,2013-07-04,543.66,16724739.0
VN30,2013-07-05,543.38,14061340.0
VN30,2013-07-08,539.92,11990260.0
VN30,2013-07-09,541.53,10562770.0
VN30,2013-07-10,538.97,10890230.0
VN30,2013-07-11,539.51,14152845.0
VN30,2013-07-12,548.27,25430954.0
VN30,2013-07-15,548.6,19391506.0
VN30,2013-07-16,549.75,18050730.0
VN30,2013-07-17,551.38,19442980.0
VN30,2013-07-18,550.67,24407929.0
VN30,2013-07-19,556.56,23350570.0
VN30,2013-07-22,557.97,25261010.0
VN30,2013-07-23,556.79,25702762.0
VN30,2013-07-24,548.24,27701730.0
VN30,2013-07-25,544.15,23726800.0
VN30,2013-07-26,544.88,29095160.0
VN30,2013-07-29,537.42,14111860.0
VN30,2013-07-30,541.78,12972849.0
VN30,2013-07-31,542.52,24821410.0
VN30,2013-08-01,543.56,13736146.0
VN30,2013-08-02,545.59,9541290.0
VN30,2013-08-05,546.18,12708786.0
VN30,2013-08-06,549.45,11834990.0
VN30,2013-08-07,553.29,16223550.0
VN30,2013-08-08,550.07,9666510.0
